nights_id,minimum_nights,maximum_nights
593,30 ,1125 
594,1 ,365 
595,30 ,150 
596,31 ,1125 
597,30 ,365 
598,5 ,1125 
599,30 ,1125 
600,108 ,120 
601,30 ,30 
602,1 ,365 
603,30 ,365 
604,30 ,1125 
605,2 ,14 
606,3 ,1125 
607,30 ,1125 
608,6 ,30 
609,31 ,1125 
610,2 ,1125 
611,1 ,25 
612,2 ,1125 
613,3 ,120 
614,30 ,1125 
615,30 ,1125 
616,1 ,1125 
617,3 ,1125 
618,7 ,1125 
619,3 ,31 
620,30 ,1125 
621,30 ,120 
622,1 ,28 
623,3 ,180 
624,1 ,1125 
625,1 ,28 
626,2 ,1125 
627,1 ,365 
628,30 ,1125 
629,1 ,10 
630,30 ,1125 
631,30 ,1125 
632,90 ,1125 
633,1 ,1125 
634,30 ,1125 
635,30 ,1125 
636,30 ,365 
637,1 ,365 
638,730 ,1125 
639,30 ,1125 
640,30 ,1125 
641,30 ,1125 
642,2 ,28 
643,30 ,1125 
644,30 ,1125 
645,30 ,1125 
646,30 ,1125 
647,16 ,365 
648,1 ,28 
649,30 ,1125 
650,1 ,1125 
651,2 ,28 
652,1 ,1125 
653,30 ,1125 
654,30 ,1125 
655,5 ,1125 
656,3 ,1125 
657,30 ,365 
658,2 ,1125 
659,2 ,30 
660,4 ,30 
661,2 ,1125 
662,30 ,1125 
663,30 ,1125 
664,3 ,1124 
665,30 ,1125 
666,30 ,1125 
667,2 ,30 
668,30 ,1125 
669,1 ,1125 
670,30 ,1125 
671,30 ,1125 
672,2 ,1125 
673,2 ,1125 
674,270 ,1125 
675,1 ,30 
676,10 ,365 
677,30 ,365 
678,30 ,1125 
679,30 ,1125 
680,2 ,1125 
681,30 ,90 
682,30 ,31 
683,30 ,1125 
684,2 ,120 
685,30 ,1125 
686,30 ,1125 
687,3 ,26 
688,30 ,120 
689,30 ,365 
690,30 ,1125 
691,30 ,1125 
692,2 ,28 
693,1 ,1125 
694,30 ,365 
695,30 ,1125 
696,30 ,1125 
697,1 ,1125 
698,30 ,1125 
699,3 ,1125 
700,30 ,365 
701,1 ,5 
702,14 ,1125 
703,1 ,1125 
704,30 ,64 
705,1 ,365 
706,30 ,1125 
707,3 ,7 
708,31 ,90 
709,30 ,1125 
710,1 ,1125 
711,1 ,1125 
712,30 ,1125 
713,1 ,1125 
714,30 ,540 
715,30 ,1125 
716,30 ,1125 
717,30 ,180 
718,6 ,1125 
719,2 ,1125 
720,30 ,1125 
721,30 ,1125 
722,7 ,1125 
723,2 ,365 
724,30 ,1125 
725,28 ,1125 
726,1 ,365 
727,4 ,1125 
728,30 ,1125 
729,30 ,1125 
730,30 ,1125 
731,200 ,1125 
732,30 ,1125 
733,2 ,21 
734,4 ,365 
735,4 ,365 
736,30 ,185 
737,4 ,1125 
738,30 ,1125 
739,30 ,1125 
740,3 ,7 
741,10 ,1125 
742,10 ,180 
743,6 ,50 
744,30 ,1125 
745,30 ,1125 
746,30 ,1125 
747,30 ,1125 
748,1 ,1125 
749,3 ,29 
750,30 ,1125 
751,30 ,1125 
752,30 ,1125 
753,3 ,1125 
754,4 ,14 
755,14 ,365 
756,30 ,365 
757,7 ,1125 
758,50 ,1125 
759,15 ,29 
760,29 ,300 
761,30 ,30 
762,30 ,1125 
763,5 ,1125 
764,5 ,1125 
765,30 ,1125 
766,30 ,90 
767,30 ,1125 
768,3 ,1125 
769,5 ,1125 
770,1 ,1125 
771,1 ,20 
772,30 ,1125 
773,3 ,365 
774,1 ,1125 
775,2 ,21 
776,2 ,1125 
777,90 ,1000 
778,2 ,25 
779,1 ,27 
780,30 ,1125 
781,30 ,1125 
782,30 ,360 
783,30 ,1125 
784,2 ,1125 
785,2 ,1125 
786,1 ,365 
787,7 ,28 
788,30 ,731 
789,2 ,1125 
790,30 ,1125 
791,30 ,1125 
792,4 ,15 
793,30 ,45 
794,3 ,1125 
795,31 ,1125 
796,1 ,1125 
797,1 ,1125 
798,2 ,1125 
799,30 ,30 
800,4 ,1125 
801,2 ,1125 
802,2 ,1125 
803,2 ,10 
804,1 ,28 
805,30 ,1125 
806,30 ,731 
807,2 ,31 
808,7 ,1125 
809,30 ,30 
810,2 ,1125 
811,30 ,1125 
812,30 ,30 
813,30 ,365 
814,4 ,56 
815,5 ,1125 
816,30 ,1125 
817,15 ,1125 
818,4 ,28 
819,30 ,1125 
820,2 ,365 
821,3 ,1125 
822,30 ,1125 
823,30 ,1125 
824,1 ,10 
825,2 ,1125 
826,50 ,250 
827,30 ,1125 
828,730 ,1125 
829,30 ,1125 
830,30 ,30 
831,30 ,365 
832,3 ,1125 
833,2 ,15 
834,30 ,1125 
835,1 ,365 
836,4 ,1125 
837,2 ,7 
838,1 ,1125 
839,3 ,1125 
840,1 ,1125 
841,3 ,1125 
842,7 ,10 
843,2 ,1125 
844,5 ,1125 
845,30 ,30 
846,3 ,21 
847,30 ,1125 
848,30 ,120 
849,30 ,1125 
850,1 ,1125 
851,30 ,60 
852,30 ,90 
853,30 ,1125 
854,30 ,30 
855,30 ,60 
856,5 ,365 
857,5 ,1125 
858,30 ,365 
859,30 ,31 
860,3 ,1125 
861,30 ,90 
862,3 ,1125 
863,10 ,1125 
864,30 ,1125 
865,30 ,96 
866,31 ,1125 
867,30 ,1125 
868,30 ,60 
869,30 ,100 
870,30 ,1125 
871,10 ,1125 
872,1 ,1125 
873,5 ,1125 
874,30 ,1125 
875,30 ,1124 
876,30 ,120 
877,2 ,1125 
878,30 ,1125 
879,5 ,1125 
880,3 ,1125 
881,30 ,1125 
882,3 ,1125 
883,3 ,1125 
884,30 ,365 
885,2 ,1125 
886,3 ,1125 
887,30 ,1125 
888,2 ,1125 
889,30 ,360 
890,5 ,60 
891,30 ,1125 
892,30 ,1125 
893,30 ,1125 
894,3 ,1125 
895,7 ,1125 
896,1 ,1125 
897,31 ,1125 
898,2 ,29 
899,30 ,1125 
900,2 ,91 
901,1 ,14 
902,3 ,1125 
903,90 ,1000 
904,30 ,1125 
905,3 ,365 
906,3 ,60 
907,1 ,1125 
908,2 ,20 
909,2 ,365 
910,1 ,1125 
911,3 ,1125 
912,30 ,40 
913,30 ,1125 
914,222 ,1125 
915,30 ,1125 
916,30 ,1125 
917,30 ,1125 
918,3 ,1125 
919,3 ,30 
920,2 ,1125 
921,30 ,1125 
922,2 ,1125 
923,2 ,1125 
924,1 ,28 
925,2 ,1125 
926,30 ,1125 
927,5 ,25 
928,2 ,1125 
929,4 ,1125 
930,30 ,360 
931,30 ,30 
932,1 ,365 
933,1 ,365 
934,30 ,1125 
935,2 ,60 
936,1 ,1125 
937,30 ,1125 
938,2 ,1125 
939,30 ,1125 
940,30 ,1125 
941,4 ,10 
942,30 ,90 
943,30 ,365 
944,1 ,1125 
945,30 ,300 
946,2 ,1125 
947,30 ,1125 
948,4 ,1125 
949,30 ,125 
950,30 ,1125 
951,27 ,1125 
952,30 ,1125 
953,30 ,1125 
954,26 ,364 
955,30 ,1125 
956,1 ,1125 
957,6 ,80 
958,30 ,1125 
959,3 ,60 
960,1 ,28 
961,30 ,30 
962,1 ,1125 
963,1 ,1125 
964,1 ,1125 
965,2 ,1125 
966,30 ,1125 
967,30 ,360 
968,1 ,3 
969,4 ,90 
970,7 ,14 
971,61 ,365 
972,30 ,1125 
973,7 ,30 
974,1 ,365 
975,90 ,1000 
976,31 ,1125 
977,3 ,1125 
978,3 ,16 
979,30 ,1125 
980,31 ,1125 
981,30 ,1125 
982,1 ,1125 
983,30 ,1125 
984,3 ,365 
985,6 ,1125 
986,3 ,1125 
987,1 ,365 
988,30 ,365 
989,1 ,1125 
990,30 ,1125 
991,30 ,1125 
992,2 ,27 
993,4 ,1125 
994,30 ,200 
995,30 ,1125 
996,1 ,1125 
997,2 ,1125 
998,30 ,1125 
999,2 ,1125 
1000,3 ,1125 
1001,30 ,1125 
1002,30 ,30 
1003,30 ,1125 
1004,2 ,365 
1005,30 ,1125 
1006,30 ,1125 
1007,2 ,27 
1008,2 ,1125 
1009,30 ,1125 
1010,10 ,29 
1011,30 ,1125 
1012,3 ,1125 
1013,1 ,1125 
1014,30 ,360 
1015,10 ,365 
1016,30 ,1125 
1017,30 ,120 
1018,70 ,1125 
1019,1 ,28 
1020,5 ,1125 
1021,31 ,1125 
1022,4 ,1125 
1023,30 ,1125 
1024,30 ,365 
1025,30 ,1125 
1026,3 ,1125 
1027,30 ,1125 
1028,30 ,1125 
1029,30 ,1125 
1030,30 ,30 
1031,1 ,28 
1032,1 ,1125 
1033,30 ,1125 
1034,30 ,365 
1035,1 ,1125 
1036,2 ,1125 
1037,30 ,1125 
1038,2 ,14 
1039,2 ,1125 
1040,30 ,63 
1041,30 ,1125 
1042,30 ,60 
1043,1 ,365 
1044,1 ,365 
1045,1 ,28 
1046,1 ,28 
1047,5 ,60 
1048,30 ,1125 
1049,30 ,90 
1050,1 ,365 
1051,3 ,1125 
1052,2 ,1125 
1053,30 ,1125 
1054,1 ,1125 
1055,7 ,1125 
1056,1 ,25 
1057,30 ,1125 
1058,4 ,1125 
1059,2 ,365 
1060,30 ,1125 
1061,30 ,1125 
1062,30 ,1125 
1063,1 ,1125 
1064,30 ,1125 
1065,30 ,365 
1066,30 ,1125 
1067,30 ,1125 
1068,2 ,1125 
1069,30 ,60 
1070,30 ,1125 
1071,1 ,1125 
1072,14 ,1125 
1073,10 ,365 
1074,2 ,1125 
1075,3 ,1125 
1076,3 ,365 
1077,90 ,1000 
1078,5 ,90 
1079,1 ,2 
1080,6 ,1125 
1081,30 ,1125 
1082,30 ,1125 
1083,2 ,1125 
1084,30 ,30 
1085,3 ,1125 
1086,9 ,1125 
1087,30 ,1125 
1088,30 ,1125 
1089,30 ,1125 
1090,1 ,365 
1091,30 ,365 
1092,1 ,1125 
1093,30 ,1125 
1094,30 ,1125 
1095,2 ,1125 
1096,1 ,1125 
1097,3 ,60 
1098,30 ,1125 
1099,30 ,1125 
1100,2 ,11 
1101,30 ,1125 
1102,30 ,365 
1103,30 ,1125 
1104,7 ,365 
1105,3 ,1124 
1106,18 ,1125 
1107,90 ,1000 
1108,30 ,31 
1109,0 ,182 
1110,30 ,1125 
1111,1 ,999 
1112,30 ,1125 
1113,30 ,1125 
1114,30 ,30 
1115,1 ,1125 
1116,90 ,90 
1117,30 ,182 
1118,3 ,29 
1119,1 ,1125 
1120,30 ,1125 
1121,30 ,365 
1122,2 ,1125 
1123,30 ,1125 
1124,30 ,1125 
1125,3 ,1125 
1126,30 ,1125 
1127,1 ,28 
1128,1 ,1125 
1129,30 ,1125 
1130,3 ,1125 
1131,2 ,1125 
1132,30 ,1125 
1133,30 ,182 
1134,2 ,1125 
1135,1 ,1125 
1136,3 ,365 
1137,3 ,1125 
1138,30 ,1125 
1139,30 ,100 
1140,1 ,1125 
1141,30 ,1125 
1142,5 ,65 
1143,1 ,28 
1144,1 ,28 
1145,1 ,7 
1146,4 ,1125 
1147,30 ,1125 
1148,5 ,1125 
1149,30 ,60 
1150,31 ,90 
1151,30 ,1125 
1152,2 ,1125 
1153,1 ,1125 
1154,1 ,1125 
1155,90 ,1125 
1156,6 ,1125 
1157,90 ,1000 
1158,2 ,1125 
1159,5 ,1125 
1160,3 ,14 
1161,30 ,1125 
1162,30 ,60 
1163,31 ,1125 
1164,1 ,1125 
1165,1 ,1125 
1166,30 ,1125 
1167,30 ,1125 
1168,1 ,7 
1169,3 ,1125 
1170,3 ,1125 
1171,30 ,1125 
1172,4 ,1125 
1173,30 ,365 
1174,30 ,1125 
1175,30 ,90 
1176,1 ,28 
1177,28 ,45 
1178,30 ,1125 
1179,1 ,1125 
1180,30 ,365 
1181,5 ,365 
1182,3 ,1125 
1183,30 ,360 
1184,30 ,30 
1185,1 ,1125 
1186,2 ,1125 
1187,1 ,1125 
1188,30 ,180 
1189,30 ,30 
1190,10 ,1125 
1191,30 ,1125 
1192,30 ,1125 
1193,30 ,1125 
1194,3 ,1125 
1195,30 ,1125 
1196,1 ,1125 
1197,3 ,20 
1198,1 ,1125 
1199,30 ,1125 
1200,30 ,1125 
1201,30 ,1125 
1202,30 ,1125 
1203,2 ,1125 
1204,30 ,500 
1205,3 ,1125 
1206,30 ,1125 
1207,30 ,1125 
1208,1 ,365 
1209,90 ,1000 
1210,3 ,25 
1211,30 ,1125 
1212,1 ,365 
1213,30 ,1125 
1214,30 ,1125 
1215,2 ,1125 
1216,30 ,1125 
1217,30 ,1125 
1218,5 ,28 
1219,60 ,1125 
1220,1 ,30 
1221,2 ,28 
1222,1 ,1125 
1223,30 ,1125 
1224,30 ,1125 
1225,2 ,1125 
1226,3 ,28 
1227,7 ,14 
1228,2 ,1125 
1229,30 ,1125 
1230,3 ,28 
1231,3 ,1125 
1232,30 ,1125 
1233,1 ,28 
1234,3 ,45 
1235,7 ,60 
1236,1 ,180 
1237,1 ,365 
1238,1 ,1125 
1239,30 ,1125 
1240,3 ,1125 
1241,31 ,365 
1242,7 ,900 
1243,30 ,1125 
1244,2 ,1125 
1245,1 ,28 
1246,30 ,1125 
1247,1 ,1125 
1248,2 ,28 
1249,1 ,1125 
1250,30 ,1125 
1251,30 ,365 
1252,3 ,1125 
1253,1 ,28 
1254,1 ,1 
1255,1 ,60 
1256,7 ,1125 
1257,30 ,1125 
1258,30 ,1125 
1259,2 ,1125 
1260,3 ,150 
1261,30 ,1125 
1262,5 ,1125 
1263,1 ,1125 
1264,7 ,90 
1265,5 ,1125 
1266,7 ,14 
1267,30 ,100 
1268,3 ,365 
1269,7 ,1125 
1270,1 ,339 
1271,2 ,5 
1272,30 ,1125 
1273,29 ,1125 
1274,1 ,1125 
1275,30 ,1125 
1276,2 ,1125 
1277,7 ,365 
1278,30 ,1125 
1279,2 ,1125 
1280,30 ,1125 
1281,1 ,1125 
1282,3 ,14 
1283,6 ,1125 
1284,1 ,60 
1285,15 ,29 
1286,1 ,1125 
1287,30 ,1125 
1288,30 ,60 
1289,30 ,1125 
1290,3 ,30 
1291,30 ,1125 
1292,2 ,1125 
1293,2 ,1125 
1294,5 ,1125 
1295,30 ,1125 
1296,1 ,1125 
1297,2 ,1125 
1298,4 ,1125 
1299,30 ,30 
1300,30 ,30 
1301,5 ,50 
1302,2 ,1125 
1303,3 ,30 
1304,1 ,1125 
1305,30 ,365 
1306,30 ,1125 
1307,30 ,1125 
1308,2 ,1125 
1309,1 ,27 
1310,4 ,60 
1311,2 ,180 
1312,3 ,1125 
1313,90 ,365 
1314,1 ,1125 
1315,2 ,28 
1316,30 ,1125 
1317,30 ,1125 
1318,30 ,1125 
1319,30 ,1125 
1320,30 ,180 
1321,3 ,1125 
1322,4 ,1125 
1323,2 ,1125 
1324,1 ,1125 
1325,1 ,1125 
1326,30 ,1125 
1327,30 ,1125 
1328,5 ,1125 
1329,5 ,60 
1330,4 ,1125 
1331,2 ,1125 
1332,2 ,1125 
1333,1 ,1125 
1334,30 ,1125 
1335,30 ,1125 
1336,1 ,1125 
1337,2 ,1125 
1338,14 ,1125 
1339,1 ,30 
1340,1 ,5 
1341,1 ,1125 
1342,3 ,1125 
1343,30 ,1125 
1344,1 ,1125 
1345,31 ,1125 
1346,7 ,30 
1347,1 ,1125 
1348,1 ,14 
1349,10 ,28 
1350,3 ,1125 
1351,30 ,120 
1352,1 ,12 
1353,3 ,365 
1354,240 ,1125 
1355,30 ,1125 
1356,30 ,1125 
1357,29 ,1125 
1358,30 ,1125 
1359,30 ,1125 
1360,30 ,365 
1361,2 ,29 
1362,30 ,365 
1363,3 ,21 
1364,31 ,1125 
1365,1 ,1125 
1366,90 ,360 
1367,1 ,1125 
1368,30 ,1125 
1369,5 ,20 
1370,30 ,1125 
1371,5 ,1125 
1372,30 ,1125 
1373,2 ,1125 
1374,30 ,1125 
1375,2 ,10 
1376,1 ,365 
1377,30 ,1125 
1378,5 ,14 
1379,30 ,365 
1380,30 ,31 
1381,3 ,1125 
1382,30 ,1125 
1383,30 ,1125 
1384,4 ,30 
1385,30 ,1125 
1386,1 ,1125 
1387,30 ,270 
1388,1 ,28 
1389,30 ,365 
1390,30 ,1125 
1391,90 ,1000 
1392,30 ,1125 
1393,1 ,365 
1394,30 ,1125 
1395,1 ,1125 
1396,1 ,1125 
1397,2 ,15 
1398,30 ,1125 
1399,2 ,20 
1400,2 ,1125 
1401,30 ,1125 
