availability_id,has_availability,availability_30,availability_60,availability_90,availability_365
8575,t,28,58,88,363
8576,t,9,39,69,344
8577,f,0,0,0,0
8578,t,0,0,0,0
8579,t,0,0,0,0
8580,t,0,0,0,112
8581,t,28,58,88,363
8582,t,0,0,0,0
8583,t,0,0,0,0
8584,t,0,0,0,258
8585,t,0,0,0,6
8586,t,17,47,77,77
8587,t,20,50,80,355
8588,f,0,0,0,0
8589,t,16,39,69,94
8590,f,0,0,0,0
8591,t,0,0,1,91
8592,f,0,0,0,0
8593,f,0,0,0,0
8594,t,3,3,3,3
8595,t,22,52,82,357
8596,t,4,16,27,27
8597,t,1,3,27,302
8598,f,0,0,0,0
8599,t,18,48,78,168
8600,t,0,0,0,0
8601,f,0,0,0,0
8602,t,21,51,81,356
8603,t,27,57,87,362
8604,t,0,0,0,0
8605,f,0,0,0,0
8606,t,0,0,0,0
8607,f,0,0,0,0
8608,t,0,0,0,201
8609,t,0,0,0,0
8610,t,0,27,57,147
8611,t,24,54,84,359
8612,f,0,0,0,0
8613,f,0,0,0,0
8614,t,0,16,24,24
8615,f,0,0,0,0
8616,f,0,0,0,0
8617,f,0,0,0,0
8618,f,0,0,0,0
8619,t,0,0,0,0
8620,t,0,0,0,249
8621,f,0,0,0,0
8622,t,0,0,0,0
8623,t,11,25,54,324
8624,t,2,32,62,337
8625,t,1,3,16,235
8626,t,0,8,38,128
8627,f,0,0,0,0
8628,t,0,30,60,335
8629,t,12,37,37,37
8630,f,0,0,0,0
8631,t,0,0,0,0
8632,t,0,0,0,0
8633,t,5,22,52,323
8634,t,0,0,0,129
8635,t,0,0,0,0
8636,t,0,0,0,0
8637,t,0,0,0,0
8638,t,8,13,24,24
8639,t,0,12,25,285
8640,f,0,0,0,0
8641,t,0,0,0,0
8642,t,6,36,66,341
8643,f,0,0,0,0
8644,f,0,0,0,0
8645,f,0,0,0,0
8646,t,0,0,0,0
8647,t,0,0,0,1
8648,t,0,0,0,0
8649,t,0,0,0,0
8650,t,3,3,3,90
8651,f,0,0,0,0
8652,f,0,0,0,0
8653,t,0,0,0,0
8654,t,6,12,32,32
8655,f,0,0,0,0
8656,t,7,37,67,342
8657,t,1,3,14,175
8658,t,0,0,0,249
8659,t,0,27,57,66
8660,t,30,60,90,365
8661,t,13,36,62,337
8662,t,0,0,0,197
8663,t,0,0,0,0
8664,t,0,0,0,122
8665,t,0,0,0,0
8666,t,16,46,76,166
8667,f,0,0,0,0
8668,t,0,23,53,323
8669,t,10,10,10,10
8670,t,2,32,62,332
8671,t,0,0,0,0
8672,f,0,0,0,0
8673,t,0,0,0,250
8674,t,0,0,0,0
8675,t,0,0,0,0
8676,t,5,13,34,196
8677,t,0,13,38,38
8678,t,0,0,0,80
8679,t,8,29,55,325
8680,f,0,0,0,0
8681,t,2,10,11,21
8682,t,0,0,0,0
8683,f,0,0,0,0
8684,t,0,0,0,219
8685,t,8,17,37,285
8686,t,11,39,69,344
8687,t,19,44,74,164
8688,t,5,28,58,148
8689,t,7,37,67,67
8690,t,0,6,36,311
8691,f,0,0,0,0
8692,t,13,13,13,278
8693,f,0,0,0,0
8694,f,0,0,0,0
8695,f,0,0,0,0
8696,t,29,59,89,364
8697,f,0,0,0,0
8698,t,30,60,2,365
8699,t,5,18,37,309
8700,t,0,0,0,0
8701,t,3,3,3,3
8702,t,2,6,8,8
8703,t,0,0,0,0
8704,t,1,1,1,53
8705,t,7,37,67,342
8706,t,0,0,0,249
8707,f,0,0,0,0
8708,f,0,0,0,0
8709,t,2,32,62,337
8710,t,3,23,47,110
8711,t,0,15,45,316
8712,t,0,0,0,18
8713,t,1,1,4,160
8714,t,4,34,64,339
8715,t,7,37,67,342
8716,t,30,60,90,365
8717,f,0,0,0,0
8718,t,20,50,77,352
8719,t,0,0,0,0
8720,t,0,0,0,0
8721,f,0,0,0,0
8722,f,0,0,0,0
8723,f,0,0,0,0
8724,t,0,0,6,281
8725,t,11,36,66,335
8726,t,0,0,0,0
8727,t,26,56,86,361
8728,t,7,7,7,7
8729,t,1,4,15,234
8730,t,4,14,19,19
8731,t,0,0,0,0
8732,t,0,0,0,0
8733,t,0,0,0,0
8734,t,0,0,1,71
8735,t,0,27,57,332
8736,t,22,52,82,357
8737,t,0,0,0,0
8738,t,6,6,26,116
8739,t,19,40,70,345
8740,t,0,0,0,0
8741,f,0,0,0,0
8742,t,0,5,35,310
8743,f,0,0,0,0
8744,t,0,23,53,320
8745,f,0,0,0,0
8746,t,2,17,30,305
8747,t,6,28,49,49
8748,t,0,0,0,0
8749,t,3,7,24,242
8750,t,0,0,0,0
8751,t,0,5,35,310
8752,t,2,10,10,74
8753,t,23,53,83,358
8754,t,2,9,9,9
8755,t,6,36,66,341
8756,t,3,13,22,28
8757,t,0,0,0,0
8758,t,0,6,28,277
8759,t,5,30,30,30
8760,t,0,0,0,0
8761,t,0,0,0,0
8762,t,0,0,0,0
8763,t,11,40,70,160
8764,f,0,0,0,0
8765,t,25,55,85,85
8766,t,0,0,0,163
8767,t,0,0,0,246
8768,t,3,7,18,18
8769,t,17,17,17,17
8770,t,0,0,6,263
8771,t,0,0,0,0
8772,t,15,45,75,350
8773,t,22,49,79,354
8774,t,2,2,2,2
8775,t,12,17,20,226
8776,t,0,0,0,143
8777,t,0,0,0,0
8778,t,3,3,3,153
8779,f,0,0,0,0
8780,t,12,36,66,341
8781,t,30,60,5,5
8782,f,0,0,0,0
8783,t,5,14,40,301
8784,t,24,54,84,358
8785,t,8,8,8,8
8786,t,7,24,45,106
8787,t,11,38,38,38
8788,f,0,0,0,0
8789,f,0,0,0,0
8790,t,12,42,72,72
8791,t,10,39,69,95
8792,t,0,0,0,69
8793,f,0,0,0,0
8794,f,0,0,0,0
8795,t,7,18,30,122
8796,t,0,0,0,0
8797,t,0,0,0,0
8798,t,0,0,0,0
8799,t,0,0,0,0
8800,t,24,54,84,84
8801,t,0,0,0,76
8802,t,2,4,4,5
8803,t,0,0,0,0
8804,t,0,0,0,0
8805,t,7,7,7,97
8806,t,1,1,1,207
8807,t,0,0,0,0
8808,f,0,0,0,0
8809,f,0,0,0,0
8810,t,16,46,75,75
8811,t,4,34,64,260
8812,f,0,0,0,0
8813,t,9,30,60,311
8814,t,21,51,81,171
8815,t,13,42,72,97
8816,t,0,0,0,0
8817,f,0,0,0,0
8818,t,0,0,0,0
8819,f,0,0,0,0
8820,t,13,43,73,348
8821,f,0,0,0,0
8822,t,0,0,0,0
8823,t,22,52,82,212
8824,t,21,46,51,51
8825,t,0,0,0,0
8826,t,30,50,60,335
8827,t,0,0,7,165
8828,f,0,0,0,0
8829,t,0,0,0,0
