id,name,year,cuisine,price,zipcode,url
54,Faro,2019,American,$$,11237,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/faro
55,Jungsik,2019,Korean,$$$$,10013,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jungsik
56,Atera,2019,Contemporary,$$$$,10013,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/atera
57,Jean-Georges,2019,Contemporary,$$$$,10023,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/jean-georges
58,Marea,2019,Seafood,$$$$,10019,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/marea
59,Gabriel Kreuther,2019,Contemporary,$$$$,10036,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/gabriel-kreuther
60,Ichimura at Uch奴,2019,Japanese,$$$$,10002,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ichimura-at-uchu
61,Sushi Ginza Onodera,2019,Japanese,$$$$,10017,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/sushi-ginza-onodera
62,Ko,2019,Contemporary,$$$$,10003,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/ko
63,The Modern,2019,Contemporary,$$$$,10019,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/the-modern
64,Aquavit,2019,Scandinavian,$$$$,10022,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aquavit
65,Daniel,2019,French,$$$$,10065,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/daniel
66,Aska,2019,Scandinavian,$$$$,11249,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/aska
67,Blanca,2019,Contemporary,$$$$,11206,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/blanca
68,Masa,2019,Japanese,$$$$,10019,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/masa
69,Per Se,2019,Contemporary,$$$$,10019,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/per-se
70,Le Bernardin,2019,Seafood,$$$$,10019,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/le-bernardin
71,Eleven Madison Park,2019,Contemporary,$$$$,10010,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/eleven-madison-park
72,Chef's Table at Brooklyn Fare,2019,Contemporary,$$$$,10018,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/chef-s-table-at-brooklyn-fare
