id,neighbourhood_cleansed,neighbourhood_group
3331,Chelsea,Manhattan
3332,Financial District,Manhattan
3333,Midtown,Manhattan
3334,Williamsburg,Brooklyn
3335,Bedford-Stuyvesant,Brooklyn
3336,Harlem,Manhattan
3337,Midtown,Manhattan
3338,Midtown,Manhattan
3339,Harlem,Manhattan
3340,Kew Gardens,Queens
3341,Fordham,Bronx
3342,Midtown,Manhattan
3343,Williamsburg,Brooklyn
3344,Upper West Side,Manhattan
3345,Bedford-Stuyvesant,Brooklyn
3346,Chelsea,Manhattan
3347,Theater District,Manhattan
3348,Chelsea,Manhattan
3349,Midtown,Manhattan
3350,Williamsburg,Brooklyn
3351,Mount Hope,Bronx
3352,Lower East Side,Manhattan
3353,East Harlem,Manhattan
3354,Prince's Bay,Staten Island
3355,Greenpoint,Brooklyn
3356,Bedford-Stuyvesant,Brooklyn
3357,Williamsburg,Brooklyn
3358,Ridgewood,Queens
3359,Chelsea,Manhattan
3360,Williamsburg,Brooklyn
3361,Hell's Kitchen,Manhattan
3362,Chelsea,Manhattan
3363,South Slope,Brooklyn
3364,Upper West Side,Manhattan
3365,Manhattan,Manhattan
3366,Sunnyside,Queens
3367,East Elmhurst,Queens
3368,Laurelton,Queens
3369,Fordham,Bronx
3370,Bronxdale,Bronx
3371,Prospect Heights,Brooklyn
3372,East Village,Manhattan
3373,Harlem,Manhattan
3374,West Village,Manhattan
3375,College Point,Queens
3376,Greenpoint,Brooklyn
3377,Hell's Kitchen,Manhattan
3378,Upper East Side,Manhattan
3379,Washington Heights,Manhattan
3380,Murray Hill,Manhattan
3381,Bedford-Stuyvesant,Brooklyn
3382,Ridgewood,Queens
3383,Bushwick,Brooklyn
3384,SoHo,Manhattan
3385,East Flatbush,Brooklyn
3386,Brownsville,Brooklyn
3387,Hell's Kitchen,Manhattan
3388,Ditmars Steinway,Queens
3389,Washington Heights,Manhattan
3390,Bushwick,Brooklyn
3391,Hell's Kitchen,Manhattan
3392,East Harlem,Manhattan
3393,Hell's Kitchen,Manhattan
3394,Upper East Side,Manhattan
3395,Elmhurst,Queens
3396,Prospect-Lefferts Gardens,Brooklyn
3397,Bedford-Stuyvesant,Brooklyn
3398,Williamsburg,Brooklyn
3399,Midtown,Manhattan
3400,Rosedale,Queens
3401,Upper West Side,Manhattan
3402,Crown Heights,Brooklyn
3403,Bushwick,Brooklyn
3404,Upper East Side,Manhattan
3405,West Farms,Bronx
3406,Flatbush,Brooklyn
3407,Astoria,Queens
3408,Williamsburg,Brooklyn
3409,Crown Heights,Brooklyn
3410,Williamsburg,Brooklyn
3411,Bedford-Stuyvesant,Brooklyn
3412,Lower East Side,Manhattan
3413,Parkchester,Bronx
3414,Williamsburg,Brooklyn
3415,Ridgewood,Queens
3416,Williamsburg,Brooklyn
3417,Sunset Park,Brooklyn
3418,Upper East Side,Manhattan
3419,Bushwick,Brooklyn
3420,Chelsea,Manhattan
3421,Kips Bay,Manhattan
3422,Greenpoint,Brooklyn
3423,Midwood,Brooklyn
3424,Canarsie,Brooklyn
3425,East Elmhurst,Queens
3426,Jackson Heights,Queens
3427,Sunset Park,Brooklyn
3428,Bedford-Stuyvesant,Brooklyn
3429,East New York,Brooklyn
3430,Theater District,Manhattan
3431,Bensonhurst,Brooklyn
3432,Greenpoint,Brooklyn
3433,SoHo,Manhattan
3434,Long Island City,Queens
3435,West Village,Manhattan
3436,Lower East Side,Manhattan
3437,Cobble Hill,Brooklyn
3438,Hell's Kitchen,Manhattan
3439,Sheepshead Bay,Brooklyn
3440,Astoria,Queens
3441,Williamsburg,Brooklyn
3442,Flushing,Queens
3443,Arrochar,Staten Island
3444,Williamsburg,Brooklyn
3445,Ridgewood,Queens
3446,Kew Gardens Hills,Queens
3447,Midwood,Brooklyn
3448,Bushwick,Brooklyn
3449,Lower East Side,Manhattan
3450,Jamaica,Queens
3451,Ditmars Steinway,Queens
3452,Crown Heights,Brooklyn
3453,Bedford-Stuyvesant,Brooklyn
3454,Flatiron District,Manhattan
3455,East Village,Manhattan
3456,Harlem,Manhattan
3457,Midtown,Manhattan
3458,Upper East Side,Manhattan
3459,Kew Gardens Hills,Queens
3460,Midtown,Manhattan
3461,Chelsea,Manhattan
3462,Upper East Side,Manhattan
3463,Chelsea,Manhattan
